VelControlTask  ,12.401,Cmd,-0.002, Enc, 0.000, Gyro,-0.006
VelControlTask  ,12.408,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.415,Cmd,-0.006, Enc, 0.000, Gyro, 0.007
VelControlTask  ,12.422,Cmd,-0.009, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.429,Cmd,-0.007, Enc, 0.000, Gyro,-0.006
VelControlTask  ,12.436,Cmd,-0.003, Enc, 0.000, Gyro,-0.007
VelControlTask  ,12.443,Cmd,-0.001, Enc, 0.000, Gyro,-0.012
VelControlTask  ,12.450,Cmd, 0.001, Enc, 0.000, Gyro,-0.008
VelControlTask  ,12.457,Cmd,-0.002, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.464,Cmd,-0.006, Enc, 0.000, Gyro, 0.008
VelControlTask  ,12.471,Cmd,-0.006, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.478,Cmd,-0.004, Enc,-0.019, Gyro,-0.007
VelControlTask  ,12.485,Cmd,-0.001, Enc, 0.000, Gyro,-0.008
VelControlTask  ,12.492,Cmd, 0.003, Enc,-0.019, Gyro,-0.006
VelControlTask  ,12.499,Cmd, 0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.506,Cmd,-0.003, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.513,Cmd,-0.004, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.520,Cmd,-0.003, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.527,Cmd, 0.000, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.534,Cmd, 0.001, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.541,Cmd,-0.001, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.548,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.555,Cmd,-0.001, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.562,Cmd,-0.001, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.569,Cmd, 0.001, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.576,Cmd, 0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.583,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.590,Cmd,-0.001, Enc, 0.000, Gyro, 0.006
VelControlTask  ,12.597,Cmd,-0.003, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.604,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.611,Cmd,-0.004, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.618,Cmd,-0.004, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.625,Cmd,-0.002, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.632,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.639,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.646,Cmd,-0.004, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.653,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.660,Cmd,-0.004, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.667,Cmd,-0.004, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.674,Cmd,-0.003, Enc,-0.019, Gyro,-0.002
VelControlTask  ,12.681,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.688,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.695,Cmd,-0.003, Enc,-0.019, Gyro, 0.002
VelControlTask  ,12.702,Cmd,-0.002, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.709,Cmd,-0.001, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.716,Cmd,-0.003, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.723,Cmd,-0.003, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.730,Cmd,-0.002, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.737,Cmd,-0.000, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.744,Cmd, 0.001, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.751,Cmd,-0.000, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.758,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.765,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.772,Cmd,-0.001, Enc,-0.019, Gyro, 0.000
VelControlTask  ,12.779,Cmd,-0.001, Enc, 0.000, Gyro,-0.006
VelControlTask  ,12.786,Cmd, 0.002, Enc, 0.000, Gyro,-0.007
VelControlTask  ,12.793,Cmd, 0.003, Enc, 0.000, Gyro,-0.008
VelControlTask  ,12.800,Cmd, 0.004, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.807,Cmd, 0.002, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.814,Cmd, 0.001, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.821,Cmd, 0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.828,Cmd, 0.002, Enc, 0.000, Gyro,-0.005
VelControlTask  ,12.835,Cmd, 0.004, Enc, 0.000, Gyro,-0.009
VelControlTask  ,12.842,Cmd, 0.006, Enc, 0.000, Gyro,-0.007
VelControlTask  ,12.849,Cmd, 0.007, Enc, 0.000, Gyro,-0.009
VelControlTask  ,12.856,Cmd, 0.008, Enc, 0.000, Gyro,-0.008
VelControlTask  ,12.863,Cmd, 0.009, Enc, 0.000, Gyro,-0.009
VelControlTask  ,12.870,Cmd, 0.011, Enc, 0.000, Gyro,-0.016
VelControlTask  ,12.877,Cmd, 0.017, Enc, 0.000, Gyro,-0.021
VelControlTask  ,12.884,Cmd, 0.020, Enc, 0.000, Gyro,-0.022
VelControlTask  ,12.891,Cmd, 0.029, Enc, 0.000, Gyro,-0.034
VelControlTask  ,12.898,Cmd, 0.033, Enc, 0.000, Gyro,-0.033
VelControlTask  ,12.905,Cmd, 0.036, Enc, 0.000, Gyro,-0.034
VelControlTask  ,12.912,Cmd, 0.042, Enc, 0.113, Gyro,-0.036
VelControlTask  ,12.919,Cmd, 0.044, Enc, 0.056, Gyro,-0.035
VelControlTask  ,12.926,Cmd, 0.048, Enc, 0.019, Gyro,-0.028
VelControlTask  ,12.933,Cmd, 0.049, Enc, 0.056, Gyro,-0.029
VelControlTask  ,12.940,Cmd, 0.051, Enc, 0.056, Gyro,-0.026
VelControlTask  ,12.947,Cmd, 0.052, Enc, 0.019, Gyro,-0.014
VelControlTask  ,12.954,Cmd, 0.046, Enc, 0.056, Gyro, 0.008
VelControlTask  ,12.961,Cmd, 0.031, Enc, 0.019, Gyro, 0.024
