VelControlTask  ,15.089,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.090,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.091,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.092,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.093,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.094,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.095,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.096,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.097,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.098,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.099,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.100,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.101,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.102,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.103,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.104,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.105,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.106,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.107,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.108,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.109,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.110,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.111,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.112,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.113,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.114,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.115,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.116,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.117,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.118,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.119,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.120,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.121,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.122,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.123,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.124,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.125,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.126,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.127,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.128,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.129,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.130,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.131,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.132,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.133,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.134,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.135,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.136,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.137,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.138,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.139,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.140,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.141,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.142,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.143,Enc, 0.000, Gyro, 0.003
VelControlTask  ,15.144,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.145,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.146,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.147,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.148,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.149,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.150,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.151,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.152,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.153,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.154,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.155,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.156,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.157,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.158,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.159,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.160,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.161,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.162,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.163,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.164,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.165,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.166,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.167,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.168,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.169,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.170,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.171,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.172,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.173,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.174,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.175,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.176,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.177,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.178,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.179,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.180,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.181,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.182,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.183,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.184,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.185,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.186,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.187,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.188,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.189,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.190,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.191,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.192,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.193,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.194,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.195,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.196,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.197,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.198,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.199,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.200,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.201,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.202,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.203,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.204,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.205,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.206,Enc, 0.000, Gyro,-0.004
VelControlTask  ,15.207,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.208,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.209,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.210,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.211,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.212,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.213,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.214,Enc, 0.000, Gyro,-0.004
VelControlTask  ,15.215,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.216,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.217,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.218,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.219,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.220,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.221,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.222,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.223,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.224,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.225,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.226,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.227,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.228,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.229,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.230,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.231,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.232,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.233,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.234,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.235,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.236,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.237,Enc, 0.000, Gyro,-0.004
VelControlTask  ,15.238,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.239,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.240,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.241,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.242,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.243,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.244,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.245,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.246,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.247,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.248,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.249,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.250,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.251,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.252,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.253,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.254,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.255,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.256,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.257,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.258,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.259,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.260,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.261,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.262,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.263,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.264,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.265,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.266,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.267,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.268,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.269,Enc, 0.000, Gyro,-0.004
VelControlTask  ,15.270,Enc, 0.000, Gyro,-0.004
VelControlTask  ,15.271,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.272,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.273,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.274,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.275,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.276,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.277,Enc, 0.000, Gyro,-0.004
VelControlTask  ,15.278,Enc, 0.000, Gyro,-0.002
